@relation recipes
@attribute "ausbauf" numeric
@attribute "kostenlo" numeric
@attribute "magazin" numeric
@attribute "rezepte" numeric
@attribute "sammlung" numeric
@attribute "foren" numeric
@attribute "gruppen" numeric
@attribute "user" numeric
@attribute "chefkoch" numeric
@attribute "de" numeric
@attribute "aktuell" numeric
@attribute "artikel" numeric
@attribute "print" numeric
@attribute "abo" numeric
@attribute "partnerm" numeric
@attribute "aeg" numeric
@attribute "perfekt" numeric
@attribute "form" numeric
@attribute "funktion" numeric
@attribute "philadel" numeric
@attribute italian {1,0}
@data
{ 0 3.3645658442299855e-7,1 0.0000010093697532689957,2 0.0000013458263376919942,3 0.000008074958026151966,4 6.729131688459971e-7,5 0.0000010093697532689957,6 0.0000010093697532689957,7 0.0000013458263376919942,8 0.000007065588272882969,9 0.000004037479013075983,10 0.0000020187395065379915,11 3.3645658442299855e-7,12 6.729131688459971e-7,13 6.729131688459971e-7,14 3.3645658442299855e-7,15 3.3645658442299855e-7,16 0.0000020187395065379915,17 3.3645658442299855e-7,18 6.729131688459971e-7,19 6.729131688459971e-7,20 1}
{ 0 7.584978419815675e-7,1 0.000002275493525944703,2 0.00000303399136792627,3 0.00001896244604953919,4 0.000001516995683963135,5 0.000002275493525944703,6 0.000002275493525944703,7 0.000002275493525944703,8 0.000014411458997649784,9 0.000011377467629723513,10 0.000004550987051889406,11 7.584978419815675e-7,12 0.000001516995683963135,13 0.000001516995683963135,14 7.584978419815675e-7,15 7.584978419815675e-7,16 0.000003792489209907838,17 7.584978419815675e-7,18 7.584978419815675e-7,19 0.000001516995683963135,20 0}
{ 0 0.0000010172585360221725,1 0.000003051775608066518,2 0.00000406903414408869,3 0.000024414204864532145,4 0.000002034517072044345,5 0.000003051775608066518,6 0.000003051775608066518,7 0.000003051775608066518,8 0.00001831065364839911,9 0.000012207102432266072,10 0.000006103551216133036,11 0.0000010172585360221725,12 0.000002034517072044345,13 0.000002034517072044345,14 0.0000010172585360221725,15 0.0000010172585360221725,16 0.000003051775608066518,17 0.0000010172585360221725,18 0.0000010172585360221725,19 0.000002034517072044345,20 0}
{ 0 5.50235593675912e-7,1 0.0000016507067810277362,2 0.000002200942374703648,3 0.00001320565424822189,4 0.000001100471187351824,5 0.0000016507067810277362,6 0.0000016507067810277362,7 0.0000016507067810277362,8 0.000009904240686166417,9 0.000006602827124110945,10 0.0000033014135620554723,11 5.50235593675912e-7,12 0.000001100471187351824,13 0.000001100471187351824,14 5.50235593675912e-7,15 5.50235593675912e-7,16 0.0000027511779683795603,17 5.50235593675912e-7,18 5.50235593675912e-7,19 0.000001100471187351824,20 0}
{ 0 0.0000013009318309249074,1 0.000003902795492774722,2 0.00000520372732369963,3 0.000028620500280347965,4 0.000002601863661849815,5 0.000003902795492774722,6 0.000003902795492774722,7 0.000003902795492774722,8 0.000023416772956648334,9 0.000015611181971098888,10 0.000007805590985549444,11 0.0000013009318309249074,12 0.000002601863661849815,13 0.000002601863661849815,14 0.0000013009318309249074,15 0.0000013009318309249074,16 0.000003902795492774722,17 0.0000013009318309249074,18 0.0000013009318309249074,19 0.000002601863661849815,20 0}
{ 0 4.877580276711148e-7,1 0.0000014632740830133443,2 0.0000019510321106844592,3 0.00001121843463643564,4 9.755160553422296e-7,5 0.0000014632740830133443,6 0.0000014632740830133443,7 0.0000014632740830133443,8 0.000008779644498080066,9 0.0000063408543597244925,10 0.0000029265481660266886,11 4.877580276711148e-7,12 9.755160553422296e-7,13 9.755160553422296e-7,14 4.877580276711148e-7,15 4.877580276711148e-7,16 0.000002438790138355574,17 9.755160553422296e-7,18 4.877580276711148e-7,19 9.755160553422296e-7,20 0}
{ 0 4.86936886210389e-7,1 0.000001460810658631167,2 0.000001947747544841556,3 0.000012173422155259726,4 9.73873772420778e-7,5 0.000001460810658631167,6 0.000001460810658631167,7 0.000001460810658631167,8 0.000009251800837997391,9 0.000005843242634524668,10 0.000002921621317262334,11 4.86936886210389e-7,12 9.73873772420778e-7,13 9.73873772420778e-7,14 4.86936886210389e-7,15 9.73873772420778e-7,16 0.000001947747544841556,17 0.000001460810658631167,18 4.86936886210389e-7,19 0.000001460810658631167,20 1}
{ 0 5.931110944818273e-7,1 0.0000017793332834454817,2 0.000002372444377927309,3 0.000014827777362045683,4 0.0000011862221889636545,5 0.0000017793332834454817,6 0.0000017793332834454817,7 0.0000017793332834454817,8 0.00001067599970067289,9 0.000007117333133781927,10 0.0000035586665668909634,11 5.931110944818273e-7,12 0.0000011862221889636545,13 0.0000011862221889636545,14 5.931110944818273e-7,15 5.931110944818273e-7,16 0.000004744888755854618,17 5.931110944818273e-7,18 5.931110944818273e-7,19 0.0000011862221889636545,20 1}
{ 0 0.0000013579366685867187,1 0.000004073810005760157,2 0.000005431746674346875,3 0.00002987460670890781,4 0.0000027158733371734375,5 0.000004073810005760157,6 0.000004073810005760157,7 0.000004073810005760157,8 0.000024442860034560936,9 0.000016295240023040627,10 0.000008147620011520313,11 0.0000013579366685867187,12 0.0000027158733371734375,13 0.0000027158733371734375,14 0.0000013579366685867187,15 0.0000013579366685867187,16 0.000005431746674346875,17 0.0000013579366685867187,18 0.0000013579366685867187,19 0.0000027158733371734375,20 0}
{ 0 0.0000010983816850973585,1 0.0000032951450552920757,2 0.000004393526740389434,3 0.000024164397072141888,4 0.000002196763370194717,5 0.0000032951450552920757,6 0.0000032951450552920757,7 0.0000032951450552920757,8 0.000019770870331752453,9 0.000013180580221168303,10 0.000006590290110584151,11 0.0000010983816850973585,12 0.000002196763370194717,13 0.000002196763370194717,14 0.0000010983816850973585,15 0.0000010983816850973585,16 0.000004393526740389434,17 0.0000010983816850973585,18 0.0000010983816850973585,19 0.0000032951450552920757,20 1}
{ 0 4.6229170550181846e-7,1 0.0000013868751165054554,2 0.0000018491668220072738,3 0.000010632709226541825,4 0.0000013868751165054554,5 0.0000013868751165054554,6 0.0000013868751165054554,7 0.0000013868751165054554,8 0.000008783542404534551,9 0.00000600979217152364,10 0.000002773750233010911,11 4.6229170550181846e-7,12 9.245834110036369e-7,13 9.245834110036369e-7,14 4.6229170550181846e-7,15 4.6229170550181846e-7,16 0.0000032360419385127293,17 4.6229170550181846e-7,18 4.6229170550181846e-7,19 9.245834110036369e-7,20 1}
{ 0 6.958472584016947e-7,1 0.000002087541775205084,2 0.0000027833890336067786,3 0.000017396181460042367,4 0.0000013916945168033893,5 0.000002087541775205084,6 0.000002087541775205084,7 0.000002087541775205084,8 0.000012525250651230504,9 0.000008350167100820336,10 0.000004175083550410168,11 6.958472584016947e-7,12 0.0000013916945168033893,13 0.0000013916945168033893,14 6.958472584016947e-7,15 6.958472584016947e-7,16 0.000002087541775205084,17 6.958472584016947e-7,18 6.958472584016947e-7,19 0.0000013916945168033893,20 1}
{ 0 8.311508919798019e-7,1 0.000002493452675939406,2 0.0000033246035679192076,3 0.000019116470515535443,4 0.0000016623017839596038,5 0.000002493452675939406,6 0.000002493452675939406,7 0.000002493452675939406,8 0.000014960716055636435,9 0.000009973810703757624,10 0.000004986905351878812,11 8.311508919798019e-7,12 0.0000016623017839596038,13 0.0000016623017839596038,14 8.311508919798019e-7,15 8.311508919798019e-7,16 0.00000415575445989901,17 0.0000016623017839596038,18 8.311508919798019e-7,19 0.0000016623017839596038,20 1}
{ 0 4.0302904376540327e-7,1 0.00000120908713129621,2 0.000001612116175061613,3 0.00000967269705036968,4 8.060580875308065e-7,5 0.00000120908713129621,6 0.00000120908713129621,7 0.00000120908713129621,8 0.000007254522787777259,9 0.00000483634852518484,10 0.00000241817426259242,11 4.0302904376540327e-7,12 8.060580875308065e-7,13 8.060580875308065e-7,14 4.0302904376540327e-7,15 4.0302904376540327e-7,16 0.0000028212033063578233,17 8.060580875308065e-7,18 4.0302904376540327e-7,19 8.060580875308065e-7,20 0}
{ 0 6.251596046303409e-7,1 0.0000018754788138910232,2 0.0000025006384185213637,3 0.000014378670906497841,4 0.0000012503192092606818,5 0.0000018754788138910232,6 0.0000018754788138910232,7 0.0000018754788138910232,8 0.000011252872883346138,9 0.000007501915255564093,10 0.0000037509576277820463,11 6.251596046303409e-7,12 0.0000012503192092606818,13 0.0000012503192092606818,14 6.251596046303409e-7,15 6.251596046303409e-7,16 0.000003125798023151705,17 6.251596046303409e-7,18 6.251596046303409e-7,19 0.0000012503192092606818,20 1}
{ 0 5.012833802581821e-7,1 0.0000015038501407745463,2 0.0000020051335210327285,3 0.000011028234365680007,4 0.0000010025667605163643,5 0.0000015038501407745463,6 0.0000015038501407745463,7 0.0000015038501407745463,8 0.000009023100844647279,9 0.000006015400563098185,10 0.0000030077002815490926,11 5.012833802581821e-7,12 0.0000010025667605163643,13 0.0000010025667605163643,14 5.012833802581821e-7,15 5.012833802581821e-7,16 0.0000025064169012909106,17 5.012833802581821e-7,18 5.012833802581821e-7,19 0.0000010025667605163643,20 1}
{ 0 9.33033904545068e-7,1 0.000002799101713635204,2 0.000003732135618180272,3 0.000021459779804536566,4 0.000001866067809090136,5 0.000002799101713635204,6 0.000002799101713635204,7 0.000002799101713635204,8 0.000016794610281811227,9 0.000011196406854540817,10 0.000005598203427270408,11 9.33033904545068e-7,12 0.000001866067809090136,13 0.000001866067809090136,14 9.33033904545068e-7,15 9.33033904545068e-7,16 0.000002799101713635204,17 9.33033904545068e-7,18 9.33033904545068e-7,19 0.000001866067809090136,20 1}
{ 0 4.635264589887358e-7,1 0.0000013905793769662071,2 0.000001854105835954943,3 0.000010661108556740921,4 9.270529179774715e-7,5 0.0000013905793769662071,6 0.0000013905793769662071,7 0.0000013905793769662071,8 0.000008343476261797244,9 0.0000055623175078648284,10 0.0000027811587539324142,11 4.635264589887358e-7,12 9.270529179774715e-7,13 9.270529179774715e-7,14 4.635264589887358e-7,15 4.635264589887358e-7,16 0.0000023176322949436787,17 4.635264589887358e-7,18 4.635264589887358e-7,19 9.270529179774715e-7,20 1}
{ 0 5.537469886578898e-7,1 0.0000016612409659736694,2 0.0000022149879546315593,3 0.000014397421705105133,4 0.0000011074939773157797,5 0.0000016612409659736694,6 0.0000016612409659736694,7 0.0000016612409659736694,8 0.000009967445795842015,9 0.0000066449638638946775,10 0.0000033224819319473387,11 5.537469886578898e-7,12 0.0000011074939773157797,13 0.0000011074939773157797,14 5.537469886578898e-7,15 5.537469886578898e-7,16 0.0000033224819319473387,17 5.537469886578898e-7,18 5.537469886578898e-7,19 0.0000011074939773157797,20 1}
{ 0 8.936370043531547e-7,1 0.0000026809110130594643,2 0.000003574548017412619,3 0.000021447288104475715,4 0.0000017872740087063094,5 0.0000026809110130594643,6 0.0000026809110130594643,7 0.0000026809110130594643,8 0.000016085466078356786,9 0.000011617281056591013,10 0.000005361822026118929,11 8.936370043531547e-7,12 0.0000017872740087063094,13 0.0000017872740087063094,14 8.936370043531547e-7,15 8.936370043531547e-7,16 0.000003574548017412619,17 0.000006255459030472083,18 8.936370043531547e-7,19 0.0000017872740087063094,20 1}
{ 0 2.9059662800633397e-7,1 8.717898840190019e-7,2 0.0000011623865120253359,3 0.000007555512328164684,4 5.811932560126679e-7,5 8.717898840190019e-7,6 8.717898840190019e-7,7 8.717898840190019e-7,8 0.000005521335932120346,9 0.000003777756164082342,10 0.0000017435797680380038,11 2.9059662800633397e-7,12 5.811932560126679e-7,13 5.811932560126679e-7,14 2.9059662800633397e-7,15 2.9059662800633397e-7,16 0.000002615369652057006,17 2.9059662800633397e-7,18 2.9059662800633397e-7,19 5.811932560126679e-7,20 0}
{ 0 0.0000011327957326722106,1 0.0000033983871980166314,2 0.000004531182930688842,3 0.000026054301851460844,4 0.000002265591465344421,5 0.0000033983871980166314,6 0.0000033983871980166314,7 0.0000033983871980166314,8 0.00002039032318809979,9 0.000014726344524738739,10 0.000006796774396033263,11 0.0000011327957326722106,12 0.000002265591465344421,13 0.000002265591465344421,14 0.0000011327957326722106,15 0.0000011327957326722106,16 0.0000033983871980166314,17 0.0000011327957326722106,18 0.0000011327957326722106,19 0.000002265591465344421,20 0}
{ 0 2.612832072348429e-7,1 7.838496217045287e-7,2 0.0000010451328289393716,3 0.000007054646595340759,4 5.225664144696858e-7,5 7.838496217045287e-7,6 7.838496217045287e-7,7 7.838496217045287e-7,8 0.000005486947351931701,9 0.0000033966816940529577,10 0.0000015676992434090574,11 2.612832072348429e-7,12 5.225664144696858e-7,13 5.225664144696858e-7,14 2.612832072348429e-7,15 2.612832072348429e-7,16 0.0000013064160361742144,17 2.612832072348429e-7,18 2.612832072348429e-7,19 7.838496217045287e-7,20 1}
{ 0 4.86663786442464e-7,1 0.0000014599913593273919,2 0.000001946655145769856,3 0.000010706603301734208,4 9.73327572884928e-7,5 0.0000014599913593273919,6 0.0000014599913593273919,7 0.0000014599913593273919,8 0.000008759948155964351,9 0.000006326629223752032,10 0.0000029199827186547838,11 4.86663786442464e-7,12 9.73327572884928e-7,13 9.73327572884928e-7,14 4.86663786442464e-7,15 4.86663786442464e-7,16 0.00000243331893221232,17 0.000001946655145769856,18 4.86663786442464e-7,19 9.73327572884928e-7,20 1}
{ 0 4.995518314490002e-7,1 0.0000014986554943470005,2 0.000001998207325796001,3 0.000011989243954776004,4 9.991036628980004e-7,5 0.0000014986554943470005,6 0.0000014986554943470005,7 0.0000014986554943470005,8 0.000009491484797531002,9 0.000006494173808837003,10 0.000003496862820143001,11 4.995518314490002e-7,12 9.991036628980004e-7,13 9.991036628980004e-7,14 4.995518314490002e-7,15 4.995518314490002e-7,16 0.000002497759157245001,17 4.995518314490002e-7,18 9.991036628980004e-7,19 9.991036628980004e-7,20 1}
{ 0 7.874061081913913e-7,1 0.000002362218324574174,2 0.0000031496244327655653,3 0.000018110340488402004,4 0.0000015748122163827827,5 0.000002362218324574174,6 0.000002362218324574174,7 0.000002362218324574174,8 0.000014173309947445042,9 0.000010236279406488089,10 0.000004724436649148348,11 7.874061081913913e-7,12 0.0000015748122163827827,13 0.0000015748122163827827,14 7.874061081913913e-7,15 7.874061081913913e-7,16 0.0000031496244327655653,17 7.874061081913913e-7,18 7.874061081913913e-7,19 0.0000015748122163827827,20 0}
{ 0 6.009151878302724e-7,1 0.0000018027455634908172,2 0.0000024036607513210894,3 0.000013220134132265992,4 0.0000012018303756605447,5 0.0000018027455634908172,6 0.0000018027455634908172,7 0.0000018027455634908172,8 0.000010816473380944903,9 0.000007210982253963269,10 0.0000036054911269816344,11 6.009151878302724e-7,12 0.0000012018303756605447,13 0.0000012018303756605447,14 6.009151878302724e-7,15 6.009151878302724e-7,16 0.000004206406314811906,17 6.009151878302724e-7,18 0.0000030045759391513615,19 0.0000012018303756605447,20 1}
{ 0 4.7494336684560117e-7,1 0.0000014248301005368033,2 0.0000018997734673824047,3 0.000011398640804294427,4 9.498867336912023e-7,5 0.0000014248301005368033,6 0.0000014248301005368033,7 0.0000014248301005368033,8 0.000008548980603220821,9 0.000005699320402147213,10 0.0000028496602010736067,11 4.7494336684560117e-7,12 9.498867336912023e-7,13 9.498867336912023e-7,14 4.7494336684560117e-7,15 4.7494336684560117e-7,16 0.0000014248301005368033,17 9.498867336912023e-7,18 4.7494336684560117e-7,19 9.498867336912023e-7,20 1}
{ 0 0.0000010505103283618806,1 0.0000031515309850856417,2 0.000004202041313447522,3 0.00002416173755232325,4 0.0000031515309850856417,5 0.0000031515309850856417,6 0.0000031515309850856417,7 0.0000031515309850856417,8 0.000018909185910513846,9 0.000012606123940342567,10 0.000006303061970171283,11 0.0000010505103283618806,12 0.000002101020656723761,13 0.000002101020656723761,14 0.0000010505103283618806,15 0.0000010505103283618806,16 0.0000031515309850856417,17 0.0000010505103283618806,18 0.0000010505103283618806,19 0.000002101020656723761,20 0}
{ 0 9.370642885819799e-7,1 0.0000028111928657459393,2 0.0000037482571543279195,3 0.000021552478637385534,4 0.0000028111928657459393,5 0.0000028111928657459393,6 0.0000028111928657459393,7 0.0000028111928657459393,8 0.000016867157194475637,9 0.000011244771462983757,10 0.0000056223857314918786,11 9.370642885819799e-7,12 0.0000018741285771639597,13 0.0000018741285771639597,14 9.370642885819799e-7,15 9.370642885819799e-7,16 0.0000028111928657459393,17 9.370642885819799e-7,18 9.370642885819799e-7,19 0.0000018741285771639597,20 0}
{ 0 5.831461903406676e-7,1 0.0000017494385710220025,2 0.0000023325847613626703,3 0.000013412362377835353,4 0.0000011662923806813351,5 0.0000017494385710220025,6 0.0000017494385710220025,7 0.0000017494385710220025,8 0.000010496631426132015,9 0.00000699775428408801,10 0.000003498877142044005,11 5.831461903406676e-7,12 0.0000011662923806813351,13 0.0000011662923806813351,14 5.831461903406676e-7,15 5.831461903406676e-7,16 0.0000029157309517033377,17 5.831461903406676e-7,18 0.0000011662923806813351,19 0.0000011662923806813351,20 0}
{ 0 5.708694284387587e-7,1 0.0000017126082853162762,2 0.0000022834777137550348,3 0.000013129996854091451,4 0.0000011417388568775174,5 0.0000017126082853162762,6 0.0000017126082853162762,7 0.0000017126082853162762,8 0.000010846519140336416,9 0.000007421302569703864,10 0.0000034252165706325524,11 5.708694284387587e-7,12 0.0000011417388568775174,13 0.0000011417388568775174,14 5.708694284387587e-7,15 5.708694284387587e-7,16 0.0000022834777137550348,17 5.708694284387587e-7,18 5.708694284387587e-7,19 0.0000011417388568775174,20 1}
{ 0 5.239864319003099e-7,1 0.00000157195929570093,2 0.0000020959457276012397,3 0.000012051687933707128,4 0.0000010479728638006199,5 0.00000157195929570093,6 0.00000157195929570093,7 0.00000157195929570093,8 0.000009431755774205578,9 0.00000628783718280372,10 0.00000314391859140186,11 5.239864319003099e-7,12 0.0000010479728638006199,13 0.0000010479728638006199,14 5.239864319003099e-7,15 5.239864319003099e-7,16 0.0000036679050233021694,17 5.239864319003099e-7,18 5.239864319003099e-7,19 0.0000010479728638006199,20 1}
{ 0 8.818308244175948e-7,1 0.0000026454924732527843,2 0.0000035273232976703794,3 0.000019400278137187087,4 0.0000017636616488351897,5 0.0000026454924732527843,6 0.0000026454924732527843,7 0.0000026454924732527843,8 0.000015872954839516705,9 0.000010581969893011137,10 0.000005290984946505569,11 8.818308244175948e-7,12 0.0000017636616488351897,13 0.0000017636616488351897,14 8.818308244175948e-7,15 8.818308244175948e-7,16 0.000004409154122087974,17 8.818308244175948e-7,18 8.818308244175948e-7,19 0.0000017636616488351897,20 1}
{ 0 3.437882453355441e-7,1 0.0000010313647360066322,2 0.0000013751529813421763,3 0.000008250917888053058,4 6.875764906710882e-7,5 0.0000010313647360066322,6 0.0000010313647360066322,7 0.0000010313647360066322,8 0.000006188188416039793,9 0.000004813035434697617,10 0.0000020627294720132645,11 3.437882453355441e-7,12 6.875764906710882e-7,13 6.875764906710882e-7,14 3.437882453355441e-7,15 3.437882453355441e-7,16 0.0000020627294720132645,17 3.437882453355441e-7,18 3.437882453355441e-7,19 6.875764906710882e-7,20 1}
{ 0 4.447573199522877e-7,1 0.000001334271959856863,2 0.0000017790292798091507,3 0.000009784661038950329,4 8.895146399045754e-7,5 0.000001334271959856863,6 0.000001334271959856863,7 0.000001334271959856863,8 0.000008005631759141178,9 0.000005337087839427452,10 0.000002668543919713726,11 4.447573199522877e-7,12 8.895146399045754e-7,13 8.895146399045754e-7,14 4.447573199522877e-7,15 4.447573199522877e-7,16 0.000003113301239666014,17 8.895146399045754e-7,18 4.447573199522877e-7,19 8.895146399045754e-7,20 0}
{ 0 2.96859914891178e-7,1 8.905797446735339e-7,2 0.000001187439659564712,3 0.000008015217702061805,4 5.93719829782356e-7,5 8.905797446735339e-7,6 8.905797446735339e-7,7 8.905797446735339e-7,8 0.000005640338382932381,9 0.000004156038808476492,10 0.0000017811594893470678,11 2.96859914891178e-7,12 5.93719829782356e-7,13 5.93719829782356e-7,14 2.96859914891178e-7,15 2.96859914891178e-7,16 0.000003265459063802958,17 2.96859914891178e-7,18 0.000001187439659564712,19 5.93719829782356e-7,20 0}
{ 0 5.53041128889046e-7,1 0.000001659123386667138,2 0.000002212164515556184,3 0.00001271994596444806,4 0.000001106082257778092,5 0.000001659123386667138,6 0.000001659123386667138,7 0.000001659123386667138,8 0.00000995474032000283,9 0.000006636493546668552,10 0.000003318246773334276,11 5.53041128889046e-7,12 0.000001106082257778092,13 0.000001106082257778092,14 5.53041128889046e-7,15 5.53041128889046e-7,16 0.000002212164515556184,17 5.53041128889046e-7,18 0.000001106082257778092,19 0.000001106082257778092,20 0}
{ 0 0.0000010792556358543696,1 0.0000032377669075631093,2 0.0000043170225434174785,3 0.000024822879624650507,4 0.0000021585112717087392,5 0.0000032377669075631093,6 0.0000032377669075631093,7 0.0000032377669075631093,8 0.000019426601445378656,9 0.000012951067630252437,10 0.0000064755338151262185,11 0.0000010792556358543696,12 0.0000021585112717087392,13 0.0000021585112717087392,14 0.0000010792556358543696,15 0.0000010792556358543696,16 0.0000032377669075631093,17 0.0000010792556358543696,18 0.0000010792556358543696,19 0.0000021585112717087392,20 1}
{ 0 4.314875839019956e-7,1 0.0000012944627517059869,2 0.0000030204130873139698,3 0.000011650164765353883,4 0.0000012944627517059869,5 0.0000012944627517059869,6 0.0000012944627517059869,7 0.0000012944627517059869,8 0.000008198264094137918,9 0.000005609338590725943,10 0.0000025889255034119737,11 4.314875839019956e-7,12 8.629751678039912e-7,13 8.629751678039912e-7,14 4.314875839019956e-7,15 4.314875839019956e-7,16 0.000002157437919509978,17 4.314875839019956e-7,18 8.629751678039912e-7,19 8.629751678039912e-7,20 1}
{ 0 7.118306244683456e-7,1 0.000002135491873405037,2 0.0000028473224978733825,3 0.00001637210436277195,4 0.0000014236612489366912,5 0.000002135491873405037,6 0.000002135491873405037,7 0.000002135491873405037,8 0.00001281295124043022,9 0.000008541967493620148,10 0.000004270983746810074,11 7.118306244683456e-7,12 0.0000014236612489366912,13 0.0000014236612489366912,14 7.118306244683456e-7,15 7.118306244683456e-7,16 0.0000028473224978733825,17 7.118306244683456e-7,18 7.118306244683456e-7,19 0.0000014236612489366912,20 1}
{ 0 4.4024430808062567e-7,1 0.0000013207329242418772,2 0.0000017609772323225027,3 0.000010565863393935017,4 8.804886161612513e-7,5 0.0000013207329242418772,6 0.0000013207329242418772,7 0.0000013207329242418772,8 0.000008804886161612514,9 0.000005282931696967509,10 0.0000026414658484837543,11 4.4024430808062567e-7,12 8.804886161612513e-7,13 8.804886161612513e-7,14 4.4024430808062567e-7,15 4.4024430808062567e-7,16 0.0000035219544646450053,17 4.4024430808062567e-7,18 0.0000013207329242418772,19 8.804886161612513e-7,20 0}
{ 0 7.066136247776167e-7,1 0.00000211984087433285,2 0.000002826454499110467,3 0.0000169587269946628,4 0.0000014132272495552334,5 0.00000211984087433285,6 0.00000211984087433285,7 0.00000211984087433285,8 0.0000127190452459971,9 0.000009892590746886633,10 0.0000042396817486657,11 7.066136247776167e-7,12 0.0000014132272495552334,13 0.0000014132272495552334,14 7.066136247776167e-7,15 7.066136247776167e-7,16 0.0000042396817486657,17 7.066136247776167e-7,18 7.066136247776167e-7,19 0.0000014132272495552334,20 0}
{ 0 8.827279056224957e-7,1 0.0000026481837168674872,2 0.0000035309116224899827,3 0.000020302741829317402,4 0.0000017654558112449913,5 0.0000026481837168674872,6 0.0000026481837168674872,7 0.0000026481837168674872,8 0.00001588910230120492,9 0.000010592734867469949,10 0.0000052963674337349744,11 8.827279056224957e-7,12 0.0000017654558112449913,13 0.0000017654558112449913,14 8.827279056224957e-7,15 8.827279056224957e-7,16 0.0000035309116224899827,17 8.827279056224957e-7,18 8.827279056224957e-7,19 0.0000017654558112449913,20 1}
{ 0 4.369192000135515e-7,1 0.0000013107576000406546,2 0.000001747676800054206,3 0.000010486060800325236,4 8.73838400027103e-7,5 0.0000013107576000406546,6 0.0000013107576000406546,7 0.0000013107576000406546,8 0.000007864545600243927,9 0.000005243030400162618,10 0.000002621515200081309,11 4.369192000135515e-7,12 8.73838400027103e-7,13 8.73838400027103e-7,14 4.369192000135515e-7,15 8.73838400027103e-7,16 0.000003495353600108412,17 4.369192000135515e-7,18 4.369192000135515e-7,19 8.73838400027103e-7,20 0}
{ 0 6.375617422681214e-7,1 0.0000019126852268043644,2 0.0000025502469690724855,3 0.000014663920072166794,4 0.0000012751234845362427,5 0.0000019126852268043644,6 0.0000019126852268043644,7 0.0000019126852268043644,8 0.000011476111360826185,9 0.000007650740907217458,10 0.000003825370453608729,11 6.375617422681214e-7,12 0.0000012751234845362427,13 0.0000012751234845362427,14 6.375617422681214e-7,15 6.375617422681214e-7,16 0.000003187808711340607,17 0.0000019126852268043644,18 6.375617422681214e-7,19 0.0000012751234845362427,20 1}
{ 0 4.3935267403894344e-7,1 0.0000013180580221168303,2 0.0000017574106961557737,3 0.000010544464176934642,4 8.787053480778869e-7,5 0.0000013180580221168303,6 0.0000013180580221168303,7 0.0000017574106961557737,8 0.000007908348132700982,9 0.000005272232088467321,10 0.0000026361160442336606,11 4.3935267403894344e-7,12 8.787053480778869e-7,13 8.787053480778869e-7,14 4.3935267403894344e-7,15 4.3935267403894344e-7,16 0.000002196763370194717,17 4.3935267403894344e-7,18 4.3935267403894344e-7,19 8.787053480778869e-7,20 1}
{ 0 8.899708012583726e-7,1 0.0000026699124037751176,2 0.0000035598832050334904,3 0.00002135929923020094,4 0.0000017799416025167452,5 0.0000026699124037751176,6 0.0000026699124037751176,7 0.0000026699124037751176,8 0.000016019474422650708,9 0.00001067964961510047,10 0.000005339824807550235,11 8.899708012583726e-7,12 0.0000017799416025167452,13 0.0000017799416025167452,14 8.899708012583726e-7,15 8.899708012583726e-7,16 0.0000026699124037751176,17 0.000005339824807550235,18 8.899708012583726e-7,19 0.0000017799416025167452,20 0}
{ 0 4.627848166543538e-7,1 0.0000013883544499630614,2 0.000001851139266617415,3 0.000011106835599704491,4 9.255696333087076e-7,5 0.0000013883544499630614,6 0.0000013883544499630614,7 0.0000013883544499630614,8 0.000008330126699778366,9 0.0000055534177998522455,10 0.0000027767088999261228,11 9.255696333087076e-7,12 9.255696333087076e-7,13 9.255696333087076e-7,14 4.627848166543538e-7,15 9.255696333087076e-7,16 0.000001851139266617415,17 0.0000013883544499630614,18 9.255696333087076e-7,19 9.255696333087076e-7,20 0}
{ 0 4.815324812579985e-7,1 0.0000014445974437739955,2 0.000001926129925031994,3 0.000011556779550191964,4 9.63064962515997e-7,5 0.0000014445974437739955,6 0.0000014445974437739955,7 0.0000014445974437739955,8 0.000008667584662643974,9 0.000005778389775095982,10 0.000002889194887547991,11 4.815324812579985e-7,12 9.63064962515997e-7,13 9.63064962515997e-7,14 4.815324812579985e-7,15 4.815324812579985e-7,16 0.0000024076624062899924,17 4.815324812579985e-7,18 4.815324812579985e-7,19 9.63064962515997e-7,20 1}
{ 0 5.268497457358308e-7,1 0.0000015805492372074923,2 0.000002107398982943323,3 0.000012117544151924108,4 0.0000010536994914716615,5 0.0000015805492372074923,6 0.0000015805492372074923,7 0.0000015805492372074923,8 0.000009483295423244953,9 0.000006322196948829969,10 0.0000031610984744149846,11 5.268497457358308e-7,12 0.0000010536994914716615,13 0.0000010536994914716615,14 5.268497457358308e-7,15 5.268497457358308e-7,16 0.000002107398982943323,17 0.0000010536994914716615,18 0.0000010536994914716615,19 0.0000010536994914716615,20 1}
{ 0 4.647678260454811e-7,1 0.0000013943034781364433,2 0.0000018590713041819245,3 0.000011154427825091546,4 9.295356520909622e-7,5 0.0000013943034781364433,6 0.0000013943034781364433,7 0.0000013943034781364433,8 0.00000836582086881866,9 0.000006041981738591255,10 0.0000027886069562728866,11 4.647678260454811e-7,12 9.295356520909622e-7,13 9.295356520909622e-7,14 4.647678260454811e-7,15 4.647678260454811e-7,16 0.00000418291043440933,17 4.647678260454811e-7,18 4.647678260454811e-7,19 9.295356520909622e-7,20 0}
