@relation recipes
@attribute "ausbauf" numeric
@attribute "kostenlo" numeric
@attribute "magazin" numeric
@attribute "rezepte" numeric
@attribute "sammlung" numeric
@attribute "foren" numeric
@attribute "gruppen" numeric
@attribute "user" numeric
@attribute "chefkoch" numeric
@attribute "de" numeric
@attribute "aktuell" numeric
@attribute "artikel" numeric
@attribute "print" numeric
@attribute "abo" numeric
@attribute "partnerm" numeric
@attribute "aeg" numeric
@attribute "perfekt" numeric
@attribute "form" numeric
@attribute "funktion" numeric
@attribute "philadel" numeric
@attribute italian {1,0}
@data
{ 0 3.692432047774099e-7,1 0.0000011077296143322297,2 0.0000014769728191096395,3 0.000010338809733767478,4 7.384864095548197e-7,5 0.0000011077296143322297,6 0.0000011077296143322297,7 0.0000011077296143322297,8 0.000006646377685993378,9 0.000004430918457328919,10 0.0000022154592286644594,11 3.692432047774099e-7,12 7.384864095548197e-7,13 7.384864095548197e-7,14 3.692432047774099e-7,15 3.692432047774099e-7,16 0.0000025847024334418694,17 3.692432047774099e-7,18 3.692432047774099e-7,19 7.384864095548197e-7,20 0}
{ 0 5.878872162783966e-7,1 0.0000017636616488351897,2 0.0000023515488651135862,3 0.000015285067623238308,4 0.0000011757744325567931,5 0.0000017636616488351897,6 0.0000017636616488351897,7 0.0000017636616488351897,8 0.000010581969893011137,9 0.000007054646595340759,10 0.0000035273232976703794,11 5.878872162783966e-7,12 0.0000011757744325567931,13 0.0000011757744325567931,14 5.878872162783966e-7,15 5.878872162783966e-7,16 0.000002939436081391983,17 5.878872162783966e-7,18 5.878872162783966e-7,19 0.0000011757744325567931,20 1}
{ 0 4.86663786442464e-7,1 0.0000014599913593273919,2 0.000001946655145769856,3 0.000012653258447504064,4 9.73327572884928e-7,5 0.0000014599913593273919,6 0.0000014599913593273919,7 0.0000014599913593273919,8 0.000008759948155964351,9 0.000006326629223752032,10 0.0000029199827186547838,11 4.86663786442464e-7,12 9.73327572884928e-7,13 9.73327572884928e-7,14 4.86663786442464e-7,15 4.86663786442464e-7,16 0.000003893310291539712,17 4.86663786442464e-7,18 4.86663786442464e-7,19 9.73327572884928e-7,20 1}
{ 0 0.0000010031462788750443,1 0.0000030094388366251325,2 0.000004012585115500177,3 0.000022069218135250973,4 0.0000020062925577500885,5 0.0000030094388366251325,6 0.0000030094388366251325,7 0.0000030094388366251325,8 0.000018056633019750795,9 0.00001203775534650053,10 0.000006018877673250265,11 0.0000010031462788750443,12 0.0000020062925577500885,13 0.0000020062925577500885,14 0.0000010031462788750443,15 0.0000010031462788750443,16 0.000006018877673250265,17 0.0000010031462788750443,18 0.0000010031462788750443,19 0.0000020062925577500885,20 0}
{ 0 3.3868912225874836e-7,1 0.000001016067366776245,2 0.0000013547564890349934,3 0.00000846722805646871,4 0.000001016067366776245,5 0.000001016067366776245,6 0.000001016067366776245,7 0.0000013547564890349934,8 0.00000609640420065747,9 0.00000406426946710498,10 0.00000203213473355249,11 3.3868912225874836e-7,12 6.773782445174967e-7,13 6.773782445174967e-7,14 3.3868912225874836e-7,15 3.3868912225874836e-7,16 0.0000016934456112937418,17 3.3868912225874836e-7,18 3.3868912225874836e-7,19 6.773782445174967e-7,20 0}
{ 0 8.056838730054905e-7,1 0.0000024170516190164715,2 0.000003222735492021962,3 0.000018530729079126282,4 0.000001611367746010981,5 0.0000024170516190164715,6 0.0000024170516190164715,7 0.0000024170516190164715,8 0.00001450230971409883,9 0.000010473890349071377,10 0.000004834103238032943,11 8.056838730054905e-7,12 0.000001611367746010981,13 0.000001611367746010981,14 8.056838730054905e-7,15 8.056838730054905e-7,16 0.000003222735492021962,17 8.056838730054905e-7,18 8.056838730054905e-7,19 0.000001611367746010981,20 0}
{ 0 4.3105888287477065e-7,1 0.000001293176648624312,2 0.0000017242355314990826,3 0.000010345413188994496,4 8.621177657495413e-7,5 0.000001293176648624312,6 0.000001293176648624312,7 0.000001293176648624312,8 0.000007759059891745871,9 0.000005172706594497248,10 0.000002586353297248624,11 4.3105888287477065e-7,12 8.621177657495413e-7,13 8.621177657495413e-7,14 4.3105888287477065e-7,15 4.3105888287477065e-7,16 0.000002155294414373853,17 4.3105888287477065e-7,18 4.3105888287477065e-7,19 8.621177657495413e-7,20 1}
{ 0 0.0000010956079939733753,1 0.000003286823981920126,2 0.000004382431975893501,3 0.000024103375867414256,4 0.0000021912159879467507,5 0.000003286823981920126,6 0.000003286823981920126,7 0.000003286823981920126,8 0.000019720943891520758,9 0.000013147295927680504,10 0.000006573647963840252,11 0.0000010956079939733753,12 0.0000021912159879467507,13 0.0000021912159879467507,14 0.0000010956079939733753,15 0.0000010956079939733753,16 0.000003286823981920126,17 0.000003286823981920126,18 0.0000010956079939733753,19 0.0000021912159879467507,20 0}
{ 0 0.0000010928482761044247,1 0.0000032785448283132743,2 0.000004371393104417699,3 0.000026228358626506194,4 0.0000021856965522088494,5 0.0000032785448283132743,6 0.0000032785448283132743,7 0.0000032785448283132743,8 0.00002076411724598407,9 0.000014207027589357522,10 0.000006557089656626549,11 0.0000010928482761044247,12 0.0000021856965522088494,13 0.0000021856965522088494,14 0.0000010928482761044247,15 0.0000010928482761044247,16 0.0000032785448283132743,17 0.0000021856965522088494,18 0.0000010928482761044247,19 0.0000021856965522088494,20 0}
{ 0 0.0000013515911701353788,1 0.000004054773510406137,2 0.000005406364680541515,3 0.00003108659691311371,4 0.0000027031823402707576,5 0.000004054773510406137,6 0.000004054773510406137,7 0.000004054773510406137,8 0.0000256802322325722,9 0.000017570685211759924,10 0.000008109547020812273,11 0.0000013515911701353788,12 0.0000027031823402707576,13 0.0000027031823402707576,14 0.0000013515911701353788,15 0.0000013515911701353788,16 0.000004054773510406137,17 0.0000013515911701353788,18 0.0000013515911701353788,19 0.0000027031823402707576,20 1}
