@relation recipes
@attribute "ausbauf" numeric
@attribute "kostenlo" numeric
@attribute "magazin" numeric
@attribute "rezepte" numeric
@attribute "sammlung" numeric
@attribute "foren" numeric
@attribute "gruppen" numeric
@attribute "user" numeric
@attribute "chefkoch" numeric
@attribute "de" numeric
@attribute "aktuell" numeric
@attribute "artikel" numeric
@attribute "print" numeric
@attribute "abo" numeric
@attribute "partnerm" numeric
@attribute "aeg" numeric
@attribute "perfekt" numeric
@attribute "form" numeric
@attribute "funktion" numeric
@attribute "philadel" numeric
@attribute "ideen" numeric
@attribute "wmf" numeric
@attribute "leben" numeric
@attribute "schmeckt" numeric
@attribute "sch" numeric
@attribute "rubrik" numeric
@attribute "saisonal" numeric
@attribute "backen" numeric
@attribute "chenger" numeric
@attribute "te" numeric
@attribute "zubeh" numeric
@attribute "reis" numeric
@attribute "pasta" numeric
@attribute "co" numeric
@attribute "fleisch" numeric
@attribute "fisch" numeric
@attribute "obst" numeric
@attribute "gem" numeric
@attribute "se" numeric
@attribute "regional" numeric
@attribute italian {1,0}
@data
{ 0 4.157745717426513e-7,1 0.0000012473237152279538,2 0.0000016630982869706052,3 0.000009147040578338328,4 8.315491434853026e-7,5 0.0000016630982869706052,6 0.0000012473237152279538,7 0.0000012473237152279538,8 0.000007483942291367724,9 0.000004989294860911815,10 0.0000024946474304559076,11 4.157745717426513e-7,12 8.315491434853026e-7,13 8.315491434853026e-7,14 4.157745717426513e-7,15 4.157745717426513e-7,16 0.000004989294860911815,17 4.157745717426513e-7,18 8.315491434853026e-7,19 8.315491434853026e-7,20 4.157745717426513e-7,21 4.157745717426513e-7,22 4.157745717426513e-7,23 0.0000020788728587132565,24 0.0000024946474304559076,25 4.157745717426513e-7,26 4.157745717426513e-7,27 0.0000012473237152279538,28 4.157745717426513e-7,29 8.315491434853026e-7,30 4.157745717426513e-7,31 4.157745717426513e-7,32 8.315491434853026e-7,33 8.315491434853026e-7,34 4.157745717426513e-7,35 4.157745717426513e-7,36 4.157745717426513e-7,37 8.315491434853026e-7,38 0.0000012473237152279538,39 4.157745717426513e-7,40 1}
{ 0 5.53041128889046e-7,1 0.000001659123386667138,2 0.000002212164515556184,3 0.000012166904835559013,4 0.000001106082257778092,5 0.000001659123386667138,6 0.000001659123386667138,7 0.000001659123386667138,8 0.00000995474032000283,9 0.000006636493546668552,10 0.000003318246773334276,11 5.53041128889046e-7,12 0.000001106082257778092,13 0.000001106082257778092,14 5.53041128889046e-7,15 5.53041128889046e-7,16 0.000004424329031112368,17 5.53041128889046e-7,18 0.000001659123386667138,19 0.000001106082257778092,20 5.53041128889046e-7,21 5.53041128889046e-7,22 5.53041128889046e-7,23 0.000003871287902223323,24 0.000001106082257778092,25 5.53041128889046e-7,26 5.53041128889046e-7,27 0.000001659123386667138,28 5.53041128889046e-7,29 0.000001659123386667138,30 5.53041128889046e-7,31 5.53041128889046e-7,32 5.53041128889046e-7,33 0.000001106082257778092,34 0.000001106082257778092,35 0.000001106082257778092,36 5.53041128889046e-7,37 0.0000060834524177795066,38 0.000004424329031112368,39 5.53041128889046e-7,40 0}
{ 0 4.2245449426821486e-7,1 0.0000012673634828046445,2 0.0000016898179770728594,3 0.000009716453368168941,4 8.449089885364297e-7,5 0.0000012673634828046445,6 0.0000012673634828046445,7 0.000002112272471341074,8 0.000008026635391096082,9 0.000005069453931218578,10 0.000002534726965609289,11 4.2245449426821486e-7,12 8.449089885364297e-7,13 8.449089885364297e-7,14 4.2245449426821486e-7,15 4.2245449426821486e-7,16 0.000005491908425486793,17 8.449089885364297e-7,18 0.0000016898179770728594,19 8.449089885364297e-7,20 4.2245449426821486e-7,21 4.2245449426821486e-7,22 8.449089885364297e-7,23 0.000004646999436950363,24 0.000004224544942682148,25 4.2245449426821486e-7,26 4.2245449426821486e-7,27 0.0000016898179770728594,28 4.2245449426821486e-7,29 0.0000012673634828046445,30 4.2245449426821486e-7,31 4.2245449426821486e-7,32 4.2245449426821486e-7,33 8.449089885364297e-7,34 4.2245449426821486e-7,35 4.2245449426821486e-7,36 4.2245449426821486e-7,37 0.000009716453368168941,38 0.000007181726402559652,39 4.2245449426821486e-7,40 1}
{ 0 5.336540782453341e-7,1 0.0000016009622347360024,2 0.0000021346163129813365,3 0.000013341351956133352,4 0.0000010673081564906683,5 0.0000016009622347360024,6 0.0000016009622347360024,7 0.0000016009622347360024,8 0.000009605773408416014,9 0.00000640384893894401,10 0.000003201924469472005,11 5.336540782453341e-7,12 0.0000010673081564906683,13 0.0000010673081564906683,14 5.336540782453341e-7,15 5.336540782453341e-7,16 0.000003201924469472005,17 0.0000016009622347360024,18 0.0000010673081564906683,19 0.0000010673081564906683,20 0.0000010673081564906683,21 5.336540782453341e-7,22 5.336540782453341e-7,23 0.0000037355785477173387,24 0.0000026682703912266705,25 5.336540782453341e-7,26 5.336540782453341e-7,27 0.0000016009622347360024,28 5.336540782453341e-7,29 0.0000010673081564906683,30 5.336540782453341e-7,31 5.336540782453341e-7,32 0.000003201924469472005,33 5.336540782453341e-7,34 5.336540782453341e-7,35 5.336540782453341e-7,36 5.336540782453341e-7,37 0.0000021346163129813365,38 0.000004802886704208007,39 5.336540782453341e-7,40 1}
{ 0 0.0000012951067630252437,1 0.000003885320289075732,2 0.000005180427052100975,3 0.00002849234878655536,4 0.0000025902135260504873,5 0.000003885320289075732,6 0.000003885320289075732,7 0.000003885320289075732,8 0.000023311921734454385,9 0.000015541281156302927,10 0.000007770640578151463,11 0.0000012951067630252437,12 0.0000025902135260504873,13 0.0000025902135260504873,14 0.0000012951067630252437,15 0.0000012951067630252437,16 0.000003885320289075732,17 0.0000012951067630252437,18 0.0000012951067630252437,19 0.000003885320289075732,20 0.0000012951067630252437,21 0.0000012951067630252437,22 0.0000012951067630252437,23 0.000005180427052100975,24 0.0000012951067630252437,25 0.0000012951067630252437,26 0.0000012951067630252437,27 0.000003885320289075732,28 0.0000012951067630252437,29 0.0000025902135260504873,30 0.0000012951067630252437,31 0.0000012951067630252437,32 0.0000012951067630252437,33 0.0000025902135260504873,34 0.0000025902135260504873,35 0.0000025902135260504873,36 0.0000012951067630252437,37 0.000005180427052100975,38 0.000007770640578151463,39 0.0000012951067630252437,40 0}
{ 0 7.135867855484484e-7,1 0.000002140760356645345,2 0.0000028543471421937936,3 0.000016412496067614312,4 0.0000014271735710968968,5 0.000002140760356645345,6 0.000002140760356645345,7 0.000002140760356645345,8 0.00001284456213987207,9 0.000009990214997678277,10 0.00000428152071329069,11 7.135867855484484e-7,12 0.0000014271735710968968,13 0.0000014271735710968968,14 7.135867855484484e-7,15 7.135867855484484e-7,16 0.000003567933927742242,17 7.135867855484484e-7,18 7.135867855484484e-7,19 0.0000014271735710968968,20 7.135867855484484e-7,21 7.135867855484484e-7,22 7.135867855484484e-7,23 0.000007135867855484484,24 0.0000028543471421937936,25 7.135867855484484e-7,26 7.135867855484484e-7,27 0.000002140760356645345,28 7.135867855484484e-7,29 0.0000014271735710968968,30 7.135867855484484e-7,31 7.135867855484484e-7,32 7.135867855484484e-7,33 7.135867855484484e-7,34 0.0000014271735710968968,35 7.135867855484484e-7,36 7.135867855484484e-7,37 0.000002140760356645345,38 0.000007135867855484484,39 7.135867855484484e-7,40 0}
{ 0 4.780834882792911e-7,1 0.0000014342504648378732,2 0.0000019123339531171643,3 0.000010995920230423694,4 9.561669765585821e-7,5 0.0000014342504648378732,6 0.0000014342504648378732,7 0.0000014342504648378732,8 0.00000908358627730653,9 0.000006215085347630783,10 0.0000028685009296757464,11 4.780834882792911e-7,12 9.561669765585821e-7,13 9.561669765585821e-7,14 4.780834882792911e-7,15 4.780834882792911e-7,16 0.0000038246679062343285,17 4.780834882792911e-7,18 4.780834882792911e-7,19 9.561669765585821e-7,20 9.561669765585821e-7,21 4.780834882792911e-7,22 4.780834882792911e-7,23 0.0000033465844179550377,24 0.0000028685009296757464,25 4.780834882792911e-7,26 4.780834882792911e-7,27 0.0000019123339531171643,28 4.780834882792911e-7,29 9.561669765585821e-7,30 4.780834882792911e-7,31 4.780834882792911e-7,32 0.0000038246679062343285,33 4.780834882792911e-7,34 4.780834882792911e-7,35 9.561669765585821e-7,36 4.780834882792911e-7,37 9.561669765585821e-7,38 9.561669765585821e-7,39 4.780834882792911e-7,40 1}
{ 0 5.044892623412286e-7,1 0.000001513467787023686,2 0.0000020179570493649144,3 0.00001160325303384826,4 0.0000010089785246824572,5 0.000001513467787023686,6 0.000001513467787023686,7 0.000001513467787023686,8 0.000009080806722142116,9 0.000006053871148094744,10 0.000003026935574047372,11 5.044892623412286e-7,12 0.0000010089785246824572,13 0.0000010089785246824572,14 5.044892623412286e-7,15 5.044892623412286e-7,16 0.000003026935574047372,17 5.044892623412286e-7,18 5.044892623412286e-7,19 0.0000010089785246824572,20 5.044892623412286e-7,21 5.044892623412286e-7,22 5.044892623412286e-7,23 0.0000020179570493649144,24 0.000001513467787023686,25 5.044892623412286e-7,26 5.044892623412286e-7,27 0.000002522446311706143,28 5.044892623412286e-7,29 0.0000010089785246824572,30 5.044892623412286e-7,31 5.044892623412286e-7,32 5.044892623412286e-7,33 0.000002522446311706143,34 5.044892623412286e-7,35 5.044892623412286e-7,36 5.044892623412286e-7,37 5.044892623412286e-7,38 5.044892623412286e-7,39 0.0000010089785246824572,40 0}
{ 0 9.401100013292668e-7,1 0.0000028203300039878005,2 0.000003760440005317067,3 0.000023502750033231672,4 0.0000018802200026585335,5 0.0000028203300039878005,6 0.0000028203300039878005,7 0.0000028203300039878005,8 0.0000169219800239268,9 0.000011281320015951202,10 0.000005640660007975601,11 9.401100013292668e-7,12 0.0000018802200026585335,13 0.0000018802200026585335,14 9.401100013292668e-7,15 9.401100013292668e-7,16 0.0000028203300039878005,17 9.401100013292668e-7,18 9.401100013292668e-7,19 0.0000018802200026585335,20 9.401100013292668e-7,21 9.401100013292668e-7,22 9.401100013292668e-7,23 0.0000018802200026585335,24 0.0000028203300039878005,25 9.401100013292668e-7,26 9.401100013292668e-7,27 0.000003760440005317067,28 9.401100013292668e-7,29 0.0000018802200026585335,30 9.401100013292668e-7,31 0.000003760440005317067,32 9.401100013292668e-7,33 0.0000028203300039878005,34 0.000004700550006646334,35 0.0000018802200026585335,36 0.0000018802200026585335,37 0.000003760440005317067,38 0.000003760440005317067,39 9.401100013292668e-7,40 0}
{ 0 0.0000012255953830888606,1 0.0000036767861492665817,2 0.000004902381532355442,3 0.000028188693811043792,4 0.000002451190766177721,5 0.0000036767861492665817,6 0.0000036767861492665817,7 0.0000036767861492665817,8 0.000022060716895599493,9 0.000014707144597066327,10 0.0000073535722985331635,11 0.0000012255953830888606,12 0.000002451190766177721,13 0.000002451190766177721,14 0.0000012255953830888606,15 0.0000012255953830888606,16 0.000004902381532355442,17 0.0000012255953830888606,18 0.0000012255953830888606,19 0.000002451190766177721,20 0.0000012255953830888606,21 0.0000012255953830888606,22 0.0000012255953830888606,23 0.0000036767861492665817,24 0.0000012255953830888606,25 0.0000012255953830888606,26 0.0000012255953830888606,27 0.0000073535722985331635,28 0.0000012255953830888606,29 0.000002451190766177721,30 0.0000012255953830888606,31 0.0000012255953830888606,32 0.0000012255953830888606,33 0.0000012255953830888606,34 0.000002451190766177721,35 0.0000012255953830888606,36 0.0000012255953830888606,37 0.0000012255953830888606,38 0.0000012255953830888606,39 0.0000012255953830888606,40 0}
{ 0 8.041904830647945e-7,1 0.0000024125714491943836,2 0.000003216761932259178,3 0.00001769219062742548,4 0.000001608380966129589,5 0.0000024125714491943836,6 0.0000024125714491943836,7 0.0000024125714491943836,8 0.000015279619178231094,9 0.000009650285796777534,10 0.000004825142898388767,11 8.041904830647945e-7,12 0.000001608380966129589,13 0.000001608380966129589,14 8.041904830647945e-7,15 8.041904830647945e-7,16 0.000004020952415323972,17 8.041904830647945e-7,18 8.041904830647945e-7,19 0.000001608380966129589,20 8.041904830647945e-7,21 8.041904830647945e-7,22 8.041904830647945e-7,23 0.000003216761932259178,24 0.000001608380966129589,25 8.041904830647945e-7,26 8.041904830647945e-7,27 0.0000024125714491943836,28 8.041904830647945e-7,29 0.000001608380966129589,30 8.041904830647945e-7,31 8.041904830647945e-7,32 8.041904830647945e-7,33 0.000001608380966129589,34 8.041904830647945e-7,35 8.041904830647945e-7,36 8.041904830647945e-7,37 0.0000024125714491943836,38 0.0000024125714491943836,39 8.041904830647945e-7,40 0}
{ 0 7.895555334184835e-7,1 0.0000023686666002554506,2 0.000003158222133673934,3 0.00002052844386888057,4 0.000001579111066836967,5 0.0000023686666002554506,6 0.0000023686666002554506,7 0.0000023686666002554506,8 0.000015791110668369666,9 0.00001184333300127725,10 0.000004737333200510901,11 7.895555334184835e-7,12 0.000001579111066836967,13 0.000001579111066836967,14 7.895555334184835e-7,15 7.895555334184835e-7,16 0.0000039477776670924165,17 7.895555334184835e-7,18 0.0000023686666002554506,19 0.000001579111066836967,20 7.895555334184835e-7,21 7.895555334184835e-7,22 7.895555334184835e-7,23 0.0000023686666002554506,24 0.000001579111066836967,25 7.895555334184835e-7,26 7.895555334184835e-7,27 0.0000023686666002554506,28 0.000001579111066836967,29 0.000001579111066836967,30 7.895555334184835e-7,31 7.895555334184835e-7,32 0.000001579111066836967,33 0.000001579111066836967,34 0.000001579111066836967,35 0.00001815977726862512,36 7.895555334184835e-7,37 0.0000039477776670924165,38 0.000004737333200510901,39 7.895555334184835e-7,40 1}
{ 0 8.582804463174216e-7,1 0.000002574841338952265,2 0.0000034331217852696863,3 0.0000197404502653007,4 0.0000017165608926348432,5 0.000002574841338952265,6 0.000002574841338952265,7 0.000002574841338952265,8 0.000016307328480031012,9 0.00001029936535580906,10 0.00000514968267790453,11 8.582804463174216e-7,12 0.0000017165608926348432,13 0.0000017165608926348432,14 8.582804463174216e-7,15 8.582804463174216e-7,16 0.00000514968267790453,17 8.582804463174216e-7,18 8.582804463174216e-7,19 0.0000017165608926348432,20 8.582804463174216e-7,21 8.582804463174216e-7,22 8.582804463174216e-7,23 0.000004291402231587108,24 0.000002574841338952265,25 8.582804463174216e-7,26 8.582804463174216e-7,27 0.000002574841338952265,28 8.582804463174216e-7,29 0.0000017165608926348432,30 8.582804463174216e-7,31 8.582804463174216e-7,32 8.582804463174216e-7,33 0.000002574841338952265,34 0.000002574841338952265,35 0.0000017165608926348432,36 0.0000017165608926348432,37 0.000004291402231587108,38 0.00000514968267790453,39 8.582804463174216e-7,40 1}
{ 0 5.447090591506048e-7,1 0.000001634127177451814,2 0.000002178836236602419,3 0.000013073017419614511,4 0.0000010894181183012095,5 0.000001634127177451814,6 0.000001634127177451814,7 0.000001634127177451814,8 0.000009804763064710885,9 0.000006536508709807256,10 0.000003268254354903628,11 5.447090591506048e-7,12 0.0000010894181183012095,13 0.0000010894181183012095,14 5.447090591506048e-7,15 5.447090591506048e-7,16 0.000001634127177451814,17 5.447090591506048e-7,18 0.0000010894181183012095,19 0.0000010894181183012095,20 5.447090591506048e-7,21 5.447090591506048e-7,22 5.447090591506048e-7,23 0.000001634127177451814,24 0.0000027235452957530232,25 5.447090591506048e-7,26 5.447090591506048e-7,27 0.000004357672473204838,28 5.447090591506048e-7,29 0.0000010894181183012095,30 5.447090591506048e-7,31 5.447090591506048e-7,32 5.447090591506048e-7,33 0.0000010894181183012095,34 5.447090591506048e-7,35 5.447090591506048e-7,36 5.447090591506048e-7,37 0.0000010894181183012095,38 0.000008715344946409676,39 5.447090591506048e-7,40 1}
{ 0 6.568671697402826e-7,1 0.000001970601509220848,2 0.0000026274686789611303,3 0.000016421679243507066,4 0.0000013137343394805652,5 0.000001970601509220848,6 0.000001970601509220848,7 0.000001970601509220848,8 0.000011823609055325086,9 0.000007882406036883391,10 0.000003941203018441696,11 6.568671697402826e-7,12 0.0000013137343394805652,13 0.0000013137343394805652,14 6.568671697402826e-7,15 6.568671697402826e-7,16 0.000003941203018441696,17 6.568671697402826e-7,18 6.568671697402826e-7,19 0.0000013137343394805652,20 6.568671697402826e-7,21 6.568671697402826e-7,22 6.568671697402826e-7,23 0.000003284335848701413,24 0.000004598070188181978,25 6.568671697402826e-7,26 6.568671697402826e-7,27 0.0000026274686789611303,28 6.568671697402826e-7,29 0.0000013137343394805652,30 6.568671697402826e-7,31 6.568671697402826e-7,32 6.568671697402826e-7,33 0.0000013137343394805652,34 0.0000013137343394805652,35 0.0000013137343394805652,36 6.568671697402826e-7,37 0.0000026274686789611303,38 0.000003284335848701413,39 6.568671697402826e-7,40 1}
{ 0 9.221270257459226e-7,1 0.000002766381077237768,2 0.0000036885081029836906,3 0.000022131048617902143,4 0.0000018442540514918453,5 0.000002766381077237768,6 0.000002766381077237768,7 0.000002766381077237768,8 0.00001659828646342661,9 0.000011065524308951071,10 0.000005532762154475536,11 9.221270257459226e-7,12 0.0000018442540514918453,13 0.0000018442540514918453,14 9.221270257459226e-7,15 9.221270257459226e-7,16 0.000002766381077237768,17 9.221270257459226e-7,18 9.221270257459226e-7,19 0.0000018442540514918453,20 9.221270257459226e-7,21 9.221270257459226e-7,22 9.221270257459226e-7,23 0.000004610635128729614,24 0.000002766381077237768,25 9.221270257459226e-7,26 9.221270257459226e-7,27 0.000002766381077237768,28 9.221270257459226e-7,29 0.0000018442540514918453,30 9.221270257459226e-7,31 9.221270257459226e-7,32 9.221270257459226e-7,33 0.0000018442540514918453,34 0.0000018442540514918453,35 9.221270257459226e-7,36 9.221270257459226e-7,37 0.000005532762154475536,38 0.000005532762154475536,39 9.221270257459226e-7,40 1}
{ 0 8.201526760178765e-7,1 0.0000024604580280536297,2 0.000003280610704071506,3 0.000018863511548411156,4 0.000001640305352035753,5 0.0000024604580280536297,6 0.0000024604580280536297,7 0.0000024604580280536297,8 0.000014762748168321775,9 0.000009841832112214519,10 0.000004920916056107259,11 8.201526760178765e-7,12 0.000001640305352035753,13 0.000001640305352035753,14 8.201526760178765e-7,15 8.201526760178765e-7,16 0.000004100763380089382,17 8.201526760178765e-7,18 8.201526760178765e-7,19 0.000001640305352035753,20 8.201526760178765e-7,21 8.201526760178765e-7,22 8.201526760178765e-7,23 0.000003280610704071506,24 8.201526760178765e-7,25 8.201526760178765e-7,26 8.201526760178765e-7,27 0.0000024604580280536297,28 8.201526760178765e-7,29 0.000001640305352035753,30 8.201526760178765e-7,31 8.201526760178765e-7,32 0.000004920916056107259,33 8.201526760178765e-7,34 8.201526760178765e-7,35 8.201526760178765e-7,36 8.201526760178765e-7,37 0.000003280610704071506,38 0.000005741068732125135,39 8.201526760178765e-7,40 1}
{ 0 9.749680126145095e-7,1 0.000002924904037843528,2 0.000003899872050458038,3 0.000023399232302748222,4 0.000001949936025229019,5 0.000002924904037843528,6 0.000002924904037843528,7 0.000002924904037843528,8 0.000017549424227061165,9 0.000011699616151374111,10 0.000005849808075687056,11 9.749680126145095e-7,12 0.000001949936025229019,13 0.000001949936025229019,14 9.749680126145095e-7,15 9.749680126145095e-7,16 0.000002924904037843528,17 0.000001949936025229019,18 9.749680126145095e-7,19 0.000001949936025229019,20 9.749680126145095e-7,21 9.749680126145095e-7,22 9.749680126145095e-7,23 0.000003899872050458038,24 0.000003899872050458038,25 9.749680126145095e-7,26 9.749680126145095e-7,27 0.000004874840063072546,28 9.749680126145095e-7,29 0.000001949936025229019,30 9.749680126145095e-7,31 9.749680126145095e-7,32 9.749680126145095e-7,33 0.000002924904037843528,34 9.749680126145095e-7,35 0.000002924904037843528,36 9.749680126145095e-7,37 9.749680126145095e-7,38 0.000007799744100916076,39 9.749680126145095e-7,40 0}
{ 0 0.0000010492400619430632,1 0.0000031477201858291896,2 0.000004196960247772253,3 0.00002308328136274739,4 0.0000020984801238861264,5 0.0000031477201858291896,6 0.0000031477201858291896,7 0.0000031477201858291896,8 0.000018886321114975137,9 0.000012590880743316758,10 0.000006295440371658379,11 0.0000010492400619430632,12 0.0000020984801238861264,13 0.0000020984801238861264,14 0.0000010492400619430632,15 0.0000010492400619430632,16 0.0000031477201858291896,17 0.0000010492400619430632,18 0.0000010492400619430632,19 0.0000020984801238861264,20 0.0000010492400619430632,21 0.0000010492400619430632,22 0.0000010492400619430632,23 0.0000031477201858291896,24 0.0000010492400619430632,25 0.0000010492400619430632,26 0.0000010492400619430632,27 0.0000031477201858291896,28 0.0000010492400619430632,29 0.0000020984801238861264,30 0.0000010492400619430632,31 0.0000010492400619430632,32 0.0000010492400619430632,33 0.0000020984801238861264,34 0.0000010492400619430632,35 0.0000010492400619430632,36 0.0000010492400619430632,37 0.0000020984801238861264,38 0.000005246200309715316,39 0.0000010492400619430632,40 0}
{ 0 3.3645658442299855e-7,1 0.0000010093697532689957,2 0.0000013458263376919942,3 0.000008074958026151966,4 6.729131688459971e-7,5 0.0000010093697532689957,6 0.0000010093697532689957,7 0.0000013458263376919942,8 0.000007065588272882969,9 0.000004037479013075983,10 0.0000020187395065379915,11 3.3645658442299855e-7,12 6.729131688459971e-7,13 6.729131688459971e-7,14 3.3645658442299855e-7,15 3.3645658442299855e-7,16 0.0000020187395065379915,17 3.3645658442299855e-7,18 6.729131688459971e-7,19 6.729131688459971e-7,20 3.3645658442299855e-7,21 3.3645658442299855e-7,22 3.3645658442299855e-7,23 0.00000235519609096099,24 0.0000020187395065379915,25 3.3645658442299855e-7,26 3.3645658442299855e-7,27 0.0000010093697532689957,28 3.3645658442299855e-7,29 0.0000010093697532689957,30 3.3645658442299855e-7,31 0.0000010093697532689957,32 0.0000013458263376919942,33 3.3645658442299855e-7,34 0.0000020187395065379915,35 6.729131688459971e-7,36 3.3645658442299855e-7,37 0.000005383305350767977,38 0.00000471039218192198,39 3.3645658442299855e-7,40 1}
{ 0 7.584978419815675e-7,1 0.000002275493525944703,2 0.00000303399136792627,3 0.00001896244604953919,4 0.000001516995683963135,5 0.000002275493525944703,6 0.000002275493525944703,7 0.000002275493525944703,8 0.000014411458997649784,9 0.000011377467629723513,10 0.000004550987051889406,11 7.584978419815675e-7,12 0.000001516995683963135,13 0.000001516995683963135,14 7.584978419815675e-7,15 7.584978419815675e-7,16 0.000003792489209907838,17 7.584978419815675e-7,18 7.584978419815675e-7,19 0.000001516995683963135,20 7.584978419815675e-7,21 7.584978419815675e-7,22 7.584978419815675e-7,23 0.000003792489209907838,24 0.000001516995683963135,25 7.584978419815675e-7,26 7.584978419815675e-7,27 0.000002275493525944703,28 7.584978419815675e-7,29 0.000001516995683963135,30 7.584978419815675e-7,31 7.584978419815675e-7,32 7.584978419815675e-7,33 0.000001516995683963135,34 0.000001516995683963135,35 0.000001516995683963135,36 7.584978419815675e-7,37 0.000002275493525944703,38 0.000008343476261797244,39 0.000001516995683963135,40 0}
{ 0 0.0000010172585360221725,1 0.000003051775608066518,2 0.00000406903414408869,3 0.000024414204864532145,4 0.000002034517072044345,5 0.000003051775608066518,6 0.000003051775608066518,7 0.000003051775608066518,8 0.00001831065364839911,9 0.000012207102432266072,10 0.000006103551216133036,11 0.0000010172585360221725,12 0.000002034517072044345,13 0.000002034517072044345,14 0.0000010172585360221725,15 0.0000010172585360221725,16 0.000003051775608066518,17 0.0000010172585360221725,18 0.0000010172585360221725,19 0.000002034517072044345,20 0.0000010172585360221725,21 0.0000010172585360221725,22 0.0000010172585360221725,23 0.000003051775608066518,24 0.0000050862926801108635,25 0.0000010172585360221725,26 0.0000010172585360221725,27 0.000003051775608066518,28 0.0000010172585360221725,29 0.000002034517072044345,30 0.0000010172585360221725,31 0.0000010172585360221725,32 0.0000010172585360221725,33 0.000002034517072044345,34 0.000002034517072044345,35 0.0000010172585360221725,36 0.0000010172585360221725,37 0.00000406903414408869,38 0.000007120809752155209,39 0.0000010172585360221725,40 0}
{ 0 5.50235593675912e-7,1 0.0000016507067810277362,2 0.000002200942374703648,3 0.00001320565424822189,4 0.000001100471187351824,5 0.0000016507067810277362,6 0.0000016507067810277362,7 0.0000016507067810277362,8 0.000009904240686166417,9 0.000006602827124110945,10 0.0000033014135620554723,11 5.50235593675912e-7,12 0.000001100471187351824,13 0.000001100471187351824,14 5.50235593675912e-7,15 5.50235593675912e-7,16 0.0000027511779683795603,17 5.50235593675912e-7,18 5.50235593675912e-7,19 0.000001100471187351824,20 5.50235593675912e-7,21 5.50235593675912e-7,22 5.50235593675912e-7,23 0.0000055023559367591205,24 0.000004401884749407296,25 5.50235593675912e-7,26 5.50235593675912e-7,27 0.0000016507067810277362,28 5.50235593675912e-7,29 0.000001100471187351824,30 5.50235593675912e-7,31 5.50235593675912e-7,32 0.000001100471187351824,33 0.0000016507067810277362,34 5.50235593675912e-7,35 5.50235593675912e-7,36 0.0000033014135620554723,37 5.50235593675912e-7,38 0.000001100471187351824,39 5.50235593675912e-7,40 0}
{ 0 0.0000013009318309249074,1 0.000003902795492774722,2 0.00000520372732369963,3 0.000028620500280347965,4 0.000002601863661849815,5 0.000003902795492774722,6 0.000003902795492774722,7 0.000003902795492774722,8 0.000023416772956648334,9 0.000015611181971098888,10 0.000007805590985549444,11 0.0000013009318309249074,12 0.000002601863661849815,13 0.000002601863661849815,14 0.0000013009318309249074,15 0.0000013009318309249074,16 0.000003902795492774722,17 0.0000013009318309249074,18 0.0000013009318309249074,19 0.000002601863661849815,20 0.0000013009318309249074,21 0.0000013009318309249074,22 0.0000013009318309249074,23 0.000002601863661849815,24 0.000002601863661849815,25 0.0000013009318309249074,26 0.0000013009318309249074,27 0.000007805590985549444,28 0.0000013009318309249074,29 0.000002601863661849815,30 0.0000013009318309249074,31 0.0000013009318309249074,32 0.0000013009318309249074,33 0.0000013009318309249074,34 0.0000013009318309249074,35 0.0000013009318309249074,36 0.0000013009318309249074,37 0.000002601863661849815,38 0.000002601863661849815,39 0.0000013009318309249074,40 0}
{ 0 4.877580276711148e-7,1 0.0000014632740830133443,2 0.0000019510321106844592,3 0.00001121843463643564,4 9.755160553422296e-7,5 0.0000014632740830133443,6 0.0000014632740830133443,7 0.0000014632740830133443,8 0.000008779644498080066,9 0.0000063408543597244925,10 0.0000029265481660266886,11 4.877580276711148e-7,12 9.755160553422296e-7,13 9.755160553422296e-7,14 4.877580276711148e-7,15 4.877580276711148e-7,16 0.000002438790138355574,17 9.755160553422296e-7,18 4.877580276711148e-7,19 9.755160553422296e-7,20 4.877580276711148e-7,21 4.877580276711148e-7,22 4.877580276711148e-7,23 0.0000029265481660266886,24 0.000003414306193697804,25 4.877580276711148e-7,26 4.877580276711148e-7,27 0.0000014632740830133443,28 4.877580276711148e-7,29 0.0000014632740830133443,30 4.877580276711148e-7,31 9.755160553422296e-7,32 4.877580276711148e-7,33 9.755160553422296e-7,34 9.755160553422296e-7,35 9.755160553422296e-7,36 4.877580276711148e-7,37 0.0000029265481660266886,38 0.0000014632740830133443,39 4.877580276711148e-7,40 0}
{ 0 4.86936886210389e-7,1 0.000001460810658631167,2 0.000001947747544841556,3 0.000012173422155259726,4 9.73873772420778e-7,5 0.000001460810658631167,6 0.000001460810658631167,7 0.000001460810658631167,8 0.000009251800837997391,9 0.000005843242634524668,10 0.000002921621317262334,11 4.86936886210389e-7,12 9.73873772420778e-7,13 9.73873772420778e-7,14 4.86936886210389e-7,15 9.73873772420778e-7,16 0.000001947747544841556,17 0.000001460810658631167,18 4.86936886210389e-7,19 0.000001460810658631167,20 4.86936886210389e-7,21 4.86936886210389e-7,22 4.86936886210389e-7,23 0.000002434684431051945,24 9.73873772420778e-7,25 4.86936886210389e-7,26 4.86936886210389e-7,27 0.000002434684431051945,28 4.86936886210389e-7,29 9.73873772420778e-7,30 4.86936886210389e-7,31 4.86936886210389e-7,32 4.86936886210389e-7,33 9.73873772420778e-7,34 4.86936886210389e-7,35 4.86936886210389e-7,36 4.86936886210389e-7,37 0.000001947747544841556,38 0.000005843242634524668,39 4.86936886210389e-7,40 1}
